g_form,L_ctx,wall,C,var,local_exponent
exp,2048,D≤1.8e13,1.995262314968883e+21,D,0.6906174561710969
exp,2048,D≤1.8e13,2.5118864315095717e+21,D,0.6822902670193685
exp,2048,D≤1.8e13,3.1622776601683794e+21,D,0.6741625898812629
exp,2048,D≤1.8e13,3.9810717055349854e+21,D,0.6662555623269597
exp,2048,D≤1.8e13,5.011872336272714e+21,D,0.6585977792591251
exp,2048,D≤1.8e13,6.309573444801943e+21,D,0.6512102704812293
exp,2048,D≤1.8e13,7.943282347242789e+21,D,0.644110294825758
exp,2048,D≤1.8e13,1e+22,D,0.6373152750388442
exp,2048,D≤1.8e13,1.2589254117941714e+22,D,0.6308347031079649
exp,2048,D≤1.8e13,1.584893192461111e+22,D,0.6246752765950703
exp,2048,D≤1.8e13,1.995262314968883e+22,D,0.6188452239425573
exp,2048,D≤1.8e13,2.511886431509572e+22,D,0.613344978282754
exp,2048,D≤1.8e13,3.1622776601683792e+22,D,0.6081693599468849
exp,2048,D≤1.8e13,3.981071705534985e+22,D,0.603318665638227
exp,2048,D≤1.8e13,5.011872336272714e+22,D,0.5987848152046809
exp,2048,D≤1.8e13,6.309573444801943e+22,D,0.5945566793518111
exp,2048,D≤1.8e13,7.94328234724279e+22,D,0.5906272457519322
exp,2048,D≤1.8e13,1e+23,D,0.5869864257953594
exp,2048,D≤1.8e13,1.2589254117941712e+23,D,0.5836141761037368
exp,2048,D≤1.8e13,1.584893192461124e+23,D,0.5805017053591897
