C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,regime,wall,mu_N,mu_D,mu_Q,lnN,lnD
6.309573444801943e+18,2048,exp,329585516.1588651,1589716411.300638,0.9168548467907537,3.0205755673212953,4.823380680765022,3.1436850237884365e+18,2.9512795233895485e+18,2.146088976239573e+17,0.4982404993444239,0.46774628256699674,0.03401321808857934,False,False,False,R1 质量内点(Q0<Q*<1),无,4.148896526629881e-20,4.1488966592271403e-20,4.1488967675403655e-20,19.613346411341276,21.186821479598375
7.943282347242789e+18,2048,exp,382216779.20365137,1629376903.0603814,0.9516488583082197,2.9611251415670607,4.262965394808642,3.736651151979354e+18,3.9515424766216433e+18,2.550887186417906e+17,0.4704165090236773,0.4974697239603062,0.03211376701601637,False,False,False,R1 质量内点(Q0<Q*<1),无,3.203377024026647e-20,3.203377185226207e-20,3.2033773032761344e-20,19.76149849043854,21.211463510620906
1e+19,2048,exp,439519343.40754414,1696910911.4115393,0.9841870059772586,2.9034459125471614,3.86083328723505,4.4749510176281825e+18,5.219558992901733e+18,3.054899894700839e+17,0.44749510176281826,0.5219558992901734,0.03054899894700839,False,False,False,R1 质量内点(Q0<Q*<1),无,2.4646381393311353e-20,2.4646374134354723e-20,2.46463736938617e-20,19.90119228642485,21.25207532412542
1.2589254117941713e+19,2048,exp,485779257.9235714,1920634580.626389,1.0,2.8477958431682495,3.9537187916091843,5.598026647914223e+18,6.609068850863214e+18,3.8215861916427757e+17,0.4446670625177177,0.5249769993477396,0.03035593813454286,False,True,False,R2 质量饱和(Q*=1),无,1.8716123731443785e-20,1.871612471167774e-20,1.912798355172286e-20,20.001264876880533,21.37592147912237
1.5848931924611109e+19,2048,exp,518401081.00131524,2343189115.0597525,1.0,2.7950354915097075,4.520031305748391,7.288270621424946e+18,8.063115362096887e+18,4.975459410892763e+17,0.45985878771472993,0.5087481857106112,0.031393026574658894,False,True,False,R2 质量饱和(Q*=1),无,1.4056693470870564e-20,1.4056693327325997e-20,1.5027181113135763e-20,20.066259788265047,21.57477870813573
1.9952623149688828e+19,2048,exp,553645245.9652883,2854562536.9487205,1.0,2.7451399933729435,5.155941566827239,9.48248986735363e+18,9.822795307390523e+18,6.473379749446746e+17,0.4752502864517599,0.49230596065980003,0.03244375288844014,False,True,False,R2 质量饱和(Q*=1),无,1.0561508806386516e-20,1.056151015865122e-20,1.1827384107584164e-20,20.132034689356612,21.77218444132574
2.511886431509572e+19,2048,exp,591763680.7500294,3472307846.6979003,1.0,2.697934353491391,5.867727202008971,1.232871403235495e+19,1.1948510071465337e+19,8.416402112754313e+17,0.49081494599840425,0.4756787536881046,0.03350630031349107,False,True,False,R2 质量饱和(Q*=1),无,7.938729214851638e-21,7.938729348799198e-21,9.326561715284228e-21,20.198617925229325,21.96808529533755
3.162277660168379e+19,2048,exp,633036420.435281,4217159505.9354024,1.0,2.653254494256607,6.6617960196281425,1.6017693348251793e+19,1.4511608720858008e+19,1.093474532573989e+18,0.5065239384260429,0.4588973607107391,0.03457870086321786,False,True,False,R2 质量饱和(Q*=1),无,5.969867146360182e-21,5.969866716014232e-21,7.368765284941268e-21,20.266038514685977,22.162427635499988
3.981071705534986e+19,2048,exp,677774396.8611354,5113543141.84315,1.0,2.6109465831186496,7.544609482926263,2.0794971712716816e+19,1.759614194037824e+19,1.4196034022548017e+18,0.5223460728879873,0.44199510186952606,0.035658825242486605,False,True,False,R2 质量饱和(Q*=1),无,4.491314147490163e-21,4.491313903495649e-21,5.833460012321981e-21,20.334325042539348,22.35515837502684
5.011872336272715e+19,2048,exp,726323085.3799641,6190151222.555322,1.0,2.570866402701674,8.522586362950372,2.6976298409609634e+19,2.130084298168817e+19,1.841581971429351e+18,0.5382479161404911,0.42500769278431816,0.036744391075190855,False,True,False,R2 质量饱和(Q*=1),无,3.3805212179848535e-21,3.380521283667233e-21,4.627361691267931e-21,20.403505494981033,22.546225353482683
6.309573444801942e+19,2048,exp,779066572.668439,7480591926.766575,1.0,2.532878760930813,9.6019931918581,3.4967274683503383e+19,2.5741360479455543e+19,2.3870992850604974e+18,0.5541939560480226,0.4079730698857657,0.03783297406621167,False,True,False,R2 质量饱和(Q*=1),无,2.5456671512829524e-21,2.5456671508851692e-21,3.678179452986265e-21,20.473607059321516,22.735577760396282
7.94328234724279e+19,2048,exp,836432449.013966,9024115588.99406,1.0,2.4968569386155224,10.788815761072158,4.5288378613724455e+19,3.1052758212006515e+19,3.091686646696923e+18,0.570146906957734,0.39093106419395135,0.038922028848314645,False,True,False,R2 质量饱和(Q*=1),无,1.917932042410449e-21,1.917932139466179e-21,2.9298152154014342e-21,20.54465632081351,22.923166340684137
1e+20,2048,exp,898896230.3910891,10866433650.31011,1.0,2.462682172071705,12.088640805159873,5.8606777476351844e+19,3.7392333181262545e+19,4.0008893423856195e+18,0.5860677747635185,0.37392333181262544,0.0400088934238562,False,True,False,R2 质量饱和(Q*=1),无,1.4457202368815419e-21,1.4457200735428692e-21,2.3386740405939236e-21,20.616678157955004,23.10894439319806
1.2589254117941713e+20,2048,exp,966988008.4426512,13060621911.210047,1.0,2.4302431684912973,13.506498319709648,7.577678862566072e+19,4.494272378357796e+19,5.173028770178439e+18,0.601916427420959,0.35699274446710344,0.04109082811193747,False,True,False,R2 质量饱和(Q*=1),无,1.090335101936496e-21,1.0903349467004948e-21,1.8708302613314314e-21,20.689696652557483,23.292867579202273
1.5848931924611108e+20,2048,exp,1041297879.1664306,15668138945.457886,1.0,2.399435651884578,15.046740475453948,9.78911991263415e+19,5.391541425941133e+19,6.682705860358247e+18,0.6176517104873835,0.34018326607667776,0.04216502343593872,False,True,False,R2 质量饱和(Q*=1),无,8.22745201764018e-22,8.227451924312238e-22,1.499842659483826e-21,20.7637337327809,23.474895120814956
1.995262314968883e+20,2048,exp,1122482974.486035,18759953625.33191,1.0,2.370161937528943,16.712907056716613,1.2634637127949582e+20,6.455461460471218e+19,8.625245612680249e+18,0.6332318830041466,0.32353948711610353,0.04322862987974974,False,True,False,R2 质量饱和(Q*=1),无,6.211619908345263e-22,6.211620720716429e-22,1.2050724932115291e-21,20.838809009969918,23.6549903085242
