domain_i,domain_j,coef,ci_low,ci_high,significant,co_occurrence_both_gt_1pct
nih_exporter,philpapers,-4.508075160891183,-9.126559114080392,1.5318561568610103,False,0.032552083333333336
stackexchange,gutenberg_pg_19,-4.491295809283677,-5.780722586496447,-2.9899144526694377,True,0.18489583333333334
nih_exporter,stackexchange,-4.470812373066356,-10.496868704704596,1.0484513088912348,False,0.09375
github,gutenberg_pg_19,-4.382598786609633,-5.974070731541398,-2.9616197162176756,True,0.19791666666666666
gutenberg_pg_19,uspto_backgrounds,-4.369697759207161,-6.6291498300072975,-2.523807114910496,True,0.1796875
arxiv,gutenberg_pg_19,-4.330715793882698,-6.309224864815945,-2.5268959083891325,True,0.21354166666666666
dm_mathematics,enron_emails,-4.246697294302198,-15.667677497401463,9.093255434287187,False,0.032552083333333336
nih_exporter,europarl,-3.7043034143193703,-12.900526752544934,8.668388882204598,False,0.052083333333333336
freelaw,stackexchange,-3.6474827513555477,-4.846813288358691,-2.9457382271111023,True,0.21484375
enron_emails,pile_cc,-3.413684460399876,-14.210405327117817,7.255300707166101,False,0.045572916666666664
stackexchange,uspto_backgrounds,-3.2698262988637006,-4.377411082378166,-2.2321419074587676,True,0.22265625
wikipedia_en,stackexchange,-3.238194891160881,-4.42399008123908,-2.0815656002036813,True,0.19140625
freelaw,uspto_backgrounds,-3.130389217026718,-4.642516735495224,-2.0448206308320684,True,0.20963541666666666
pubmed_central,github,-3.1252372213635375,-3.8937591597247727,-2.4703175555642423,True,0.2513020833333333
gutenberg_pg_19,pile_cc,-3.120644971358958,-4.630418892878965,-1.6255352264028857,True,0.21875
gutenberg_pg_19,europarl,-3.055879384095588,-9.428797728901104,2.135537551006813,False,0.1171875
pubmed_central,wikipedia_en,-3.010047189191756,-3.886759991073942,-2.0650355372148694,True,0.21875
arxiv,pile_cc,-2.99825258955855,-3.610388776355869,-2.3073413988318086,True,0.24609375
github,uspto_backgrounds,-2.902497551181145,-3.7864327638589184,-1.7939517066848165,True,0.21875
wikipedia_en,github,-2.8803042554447793,-3.732709214254828,-1.8966519778962585,True,0.19270833333333334
arxiv,github,-2.8318027823609104,-3.464058742247651,-2.0262290272639274,True,0.23307291666666666
hackernews,uspto_backgrounds,-2.8288230026462946,-8.049228547856035,3.455974810816803,False,0.11197916666666667
freelaw,pubmed_central,-2.76081287072729,-3.59819363191591,-2.0329008922597116,True,0.25
freelaw,hackernews,-2.7392908412641432,-8.427645264931018,2.6967665689390428,False,0.13932291666666666
ubuntu_irc,europarl,-2.7338650458794373,-14.115352631884516,6.942882935412068,False,0.1015625
pubmed_central,stackexchange,-2.684447649161779,-3.1852989391817976,-2.123194444944231,True,0.2591145833333333
pile_cc,uspto_backgrounds,-2.6013329924536066,-3.5589997565847744,-1.8544965658577177,True,0.24348958333333334
freelaw,wikipedia_en,-2.5565400104931353,-3.926292073700986,-1.2327103847480985,True,0.18489583333333334
pubmed_central,pile_cc,-2.47832128540127,-3.115952366997306,-1.8352944414952503,True,0.23046875
arxiv,freelaw,-2.3726327270144063,-3.084461148581614,-1.417234978718946,True,0.21875
arxiv,stackexchange,-2.287769081325624,-2.7802425518834015,-1.7169363187763889,True,0.24348958333333334
arxiv,uspto_backgrounds,-2.278486427612805,-3.46666045980376,-1.101943413913267,True,0.22135416666666666
freelaw,pubmed_abstracts,-2.206851918143795,-3.4962711860543445,-0.7502831707261379,True,0.17838541666666666
arxiv,wikipedia_en,-2.1657073109246614,-3.279985319534039,-1.2491387958872469,True,0.19791666666666666
wikipedia_en,uspto_backgrounds,-2.1582064842793676,-3.2502169197340263,-1.2989710935823622,True,0.1875
arxiv,pubmed_central,-2.15534834993588,-2.702463828299489,-1.447006660867339,True,0.24088541666666666
freelaw,github,-2.1382406334227904,-3.1399406895353983,-1.3978832650114519,True,0.21614583333333334
wikipedia_en,pubmed_abstracts,-2.1370361065557435,-3.9752814990850087,-0.5845160389316817,True,0.16276041666666666
stackexchange,pile_cc,-2.119652577839846,-2.7448380820290885,-1.6240813460776373,True,0.23307291666666666
philpapers,pubmed_abstracts,-2.1008866568638074,-9.821901693828018,7.681730387635571,False,0.07552083333333333
pubmed_central,uspto_backgrounds,-2.0218401291755344,-3.187605605672708,-1.1566980134121925,True,0.23828125
arxiv,hackernews,-1.973213279650676,-6.564931710365046,2.4430676922329715,False,0.12239583333333333
freelaw,nih_exporter,-1.9535447643503046,-12.033042520945045,6.2653376249447525,False,0.0859375
enron_emails,ubuntu_irc,-1.947779936356681,-9.138742683735401,8.015134038331666,False,0.03125
pubmed_central,hackernews,-1.9464728883202345,-6.577386254175203,2.665451568570974,False,0.12890625
freelaw,pile_cc,-1.9243290658485557,-3.055674719263838,-1.0938713807569127,True,0.21614583333333334
stackexchange,pubmed_abstracts,-1.8369534954314137,-2.7915593416571323,-0.8560638783181865,True,0.20182291666666666
wikipedia_en,pile_cc,-1.751673662546707,-2.5235273845999693,-0.9679927778096876,True,0.20182291666666666
github,pile_cc,-1.7391997781041257,-2.226830615735499,-1.2428340797789357,True,0.23307291666666666
arxiv,pubmed_abstracts,-1.5559934024961415,-2.6101452479911935,-0.4257731830808648,True,0.2109375
github,pubmed_abstracts,-1.551525329378192,-2.4405832376703667,-0.6727320434015293,True,0.20572916666666666
pubmed_abstracts,uspto_backgrounds,-1.4652029299857332,-2.907246787770323,0.12101923984698636,False,0.19401041666666666
wikipedia_en,hackernews,-1.3771867104525026,-7.2702985411275876,5.28534028516907,False,0.10026041666666667
pile_cc,pubmed_abstracts,-1.2207885497387252,-2.4592500846613516,0.0644567268731967,False,0.19791666666666666
enron_emails,pubmed_abstracts,-1.0630023325381728,-15.176094212296622,13.378710117043996,False,0.036458333333333336
github,stackexchange,-0.9990361414976501,-1.4150575383507105,-0.5432127711835777,True,0.22786458333333334
nih_exporter,uspto_backgrounds,-0.8536612576385778,-10.4685335794082,7.643551977489619,False,0.09114583333333333
stackexchange,hackernews,-0.7158726560763542,-4.667480028971449,4.019219262347428,False,0.13541666666666666
philpapers,ubuntu_irc,-0.49298089759260405,-11.809918052027593,15.644394328484893,False,0.0703125
philpapers,enron_emails,-0.4396959811511297,-3.3191516605828357,2.4788289539743484,False,0.01953125
nih_exporter,pile_cc,-0.4349934715949264,-5.950507228072854,5.5192722735536375,False,0.10807291666666667
arxiv,enron_emails,-0.38560319056753506,-17.10540274216973,10.456419156350943,False,0.041666666666666664
europarl,pubmed_abstracts,-0.2542369873642377,-5.025566527939759,6.02164646977644,False,0.12760416666666666
philpapers,gutenberg_pg_19,-0.19900904748007994,-9.38210448504996,11.462645783934828,False,0.07291666666666667
pubmed_central,pubmed_abstracts,-0.1956090972398007,-1.1259665731677355,1.0068252573455767,False,0.22265625
pubmed_central,europarl,-0.17212877151078032,-3.6372308611647184,3.0400264541516955,False,0.15494791666666666
nih_exporter,pubmed_central,-0.1445641909526981,-9.220321797846045,5.247254470464111,False,0.09635416666666667
nih_exporter,github,-0.09950582087007152,-10.039565517794706,3.8394872376117037,False,0.0859375
europarl,uspto_backgrounds,0.5743900043251933,-4.033190610467673,5.878663064426066,False,0.13671875
arxiv,europarl,0.7109122160446701,-3.203296490769653,4.176670164796258,False,0.14192708333333334
enron_emails,europarl,0.7894492437245143,-4.969664278118291,5.163999644311521,False,0.02734375
pile_cc,hackernews,0.8388500411799142,-4.7197268482632655,6.043301339399392,False,0.11588541666666667
github,hackernews,0.8709124240409513,-3.9667594127971793,5.0976479879923335,False,0.12630208333333334
enron_emails,hackernews,0.9836261492247977,-2.971718419920064,5.098020671511419,False,0.01953125
wikipedia_en,philpapers,1.0075386291755544,-8.592608326764623,9.067161868433985,False,0.0859375
philpapers,europarl,1.2864687354907471,-6.777325624130915,8.90729063708645,False,0.052083333333333336
hackernews,pubmed_abstracts,1.3870383268894464,-3.45384630245525,6.843974261642437,False,0.11588541666666667
github,europarl,2.183478221193765,-1.425505537997171,5.266498374992413,False,0.1484375
stackexchange,europarl,2.41734558081638,-2.464733198105264,6.480557177771804,False,0.14192708333333334
wikipedia_en,europarl,2.5888679866045066,-2.2062646928116907,6.494423535936021,False,0.12109375
arxiv,nih_exporter,2.9181406984615155,-3.0782952264210075,8.04389603075713,False,0.09895833333333333
freelaw,europarl,3.04303819843255,-1.32191357672496,7.997131300812685,False,0.13802083333333334
nih_exporter,gutenberg_pg_19,3.084871838768807,-9.627322710035143,12.373262333741406,False,0.08203125
github,philpapers,3.1044743516693405,-3.7324263706925875,8.284744606956542,False,0.09635416666666667
nih_exporter,enron_emails,3.224448562434547,-0.6793114839115905,6.161878569636405,False,0.01953125
pubmed_central,philpapers,3.297073705869833,-4.183868210901008,10.24919145494788,False,0.09505208333333333
pile_cc,europarl,3.3780943131025896,-0.5059664022233905,6.689971534739205,False,0.15494791666666666
nih_exporter,pubmed_abstracts,3.4278897404091513,-3.259354712790763,10.69536906213291,False,0.07682291666666667
arxiv,philpapers,3.5652891853047244,-4.212193197513704,9.588711728206846,False,0.08723958333333333
philpapers,pile_cc,4.198479296221196,-2.824695558261941,7.199221644968515,False,0.07942708333333333
dm_mathematics,philpapers,4.632335321157424,-9.71273736399972,15.349695454828224,False,0.0703125
nih_exporter,wikipedia_en,4.77992412699114,-4.4250232773400535,12.775064663547216,False,0.078125
github,enron_emails,4.951525856983761,-4.40702512664302,18.48555763229762,False,0.046875
freelaw,philpapers,5.312548518236707,-1.3810163812719314,13.789665073611397,False,0.07682291666666667
nih_exporter,hackernews,5.723592237607901,-6.601511705175359,16.24657950296373,False,0.057291666666666664
wikipedia_en,enron_emails,6.461970680475399,-3.667197646210534,14.99992652366686,False,0.0390625
philpapers,stackexchange,6.848246681400115,-0.0220601059036953,12.890414775039043,False,0.08854166666666667
enron_emails,gutenberg_pg_19,16.983967794462643,-7.341649371985628,27.067039825024587,False,0.036458333333333336
