Model,#Params (B),Submission Date,Hub License,Type,Average ⬆️,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,Epoch_AI_Publication_Date,Epoch_AI_Organization,Epoch_AI_Open_Weights
Amaorynho/BBAIIFEV1,8.03,2025-03-01,,🤝 base merges and moerges,30.577013862416408,80.47369867507103,32.97465792285014,19.335347432024168,8.05369127516779,10.877864583333327,31.746823286052013,,,
Amaorynho/BBAI_375,1.09,2025-02-27,,🤝 base merges and moerges,3.4638352160730896,14.670518668244704,1.6776683167876156,0.0,0.3355704697986553,2.734375,1.3648788416075646,,,
Amu/t1-1.5B,1.777,2025-03-08,mit,🔶 fine-tuned on domain-specific datasets,12.141383312461109,33.93717558300864,15.17286027788074,5.13595166163142,0.0,1.1968749999999997,17.405437352245865,,,
Amu/t1-3B,3.397,2025-03-13,mit,"💬 chat models (RLHF, DPO, IFT, ...)",11.160895171582572,33.27770316094629,15.248848632790676,13.746223564954684,0.0,1.5361979166666664,3.1563977541371155,,,
ArliAI/ArliAI-RPMax-12B-v1.1,12.248,2024-09-05,apache-2.0,🔶 fine-tuned on domain-specific datasets,20.976339912086196,53.48852156721942,24.80906331793277,11.253776435045316,4.250559284116329,5.563802083333336,26.492316784869978,,,
ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,8.03,2024-09-19,llama3,🔶 fine-tuned on domain-specific datasets,23.942143268323218,63.59016298975607,28.787014099442825,13.141993957703926,4.4742729306487705,5.3109375000000005,28.34847813238771,,,
Arthur-LAGACHERIE/Precis-1B-Instruct,1.236,2025-01-19,llama3.2,🔶 fine-tuned on domain-specific datasets,8.848710962428209,36.70738086056109,6.06909792285563,0.3776435045317221,2.1252796420581683,3.077343750000001,4.735520094562647,,,
Artples/L-MChat-7b,7.242,2024-07-07,apache-2.0,🤝 base merges and moerges,21.238493444242582,52.96646231997766,24.20155738881327,9.214501510574015,7.38255033557047,8.124739583333334,25.54114952718676,,,
Artples/L-MChat-Small,2.78,2024-07-07,mit,🤝 base merges and moerges,15.23132798262929,32.87056122200207,26.856515500031357,3.776435045317221,2.348993288590602,9.265885416666665,16.269577423167846,,,
Aryanne/QwentileSwap,32.764,2025-02-05,apache-2.0,🤝 base merges and moerges,43.91650770857709,73.78422585406722,57.67565555333628,42.220543806646525,15.659955257270694,19.20520833333333,54.95345744680851,,,
Aryanne/SHBA,8.03,2025-01-11,,🤝 base merges and moerges,29.875548231649606,78.16560060639105,32.47770265291174,17.97583081570997,7.38255033557047,11.11692708333333,32.134677895981085,,,
Aryanne/SuperHeart,8.03,2024-09-23,llama3.1,🤝 base merges and moerges,25.55719928277682,51.92234382549414,31.893554212659296,15.634441087613292,6.823266219239373,14.713281249999996,32.35630910165484,,,
AtAndDev/Qwen2.5-1.5B-continuous-learnt,1.544,2024-10-13,,🔶 fine-tuned on domain-specific datasets,16.518524239214223,46.05214165081983,19.53766599736009,7.477341389728097,2.1252796420581683,3.789062500000001,20.12965425531915,2024-09-19,Alibaba,Yes
AtAndDev/Qwen2.5-1.5B-continuous-learnt,1.544,2024-10-18,,"💬 chat models (RLHF, DPO, IFT, ...)",17.483555890459094,45.105431366551855,19.76640880407865,14.72809667673716,2.684563758389265,2.551822916666667,20.06501182033097,2024-09-19,Alibaba,Yes
Ateron/Glowing-Forest-12B,12.248,2025-03-06,,🤝 base merges and moerges,22.612024614962053,35.91803082487799,35.52548240518279,7.779456193353475,11.0738255033557,15.179947916666665,30.1954048463357,,,
Ateron/Lotus-Magpic,12.248,2025-03-05,,🤝 base merges and moerges,25.49856357813722,62.86076499244227,32.65772737584173,9.969788519637463,7.046979865771815,12.781770833333336,27.67434988179669,,,
Ateron/Way_of_MagPicaro,12.248,2025-03-05,,🤝 base merges and moerges,20.630569141650984,26.37091805298829,34.315941121704846,5.8912386706948645,11.185682326621922,17.84661458333333,28.173020094562645,,,
AuraIndustries/Aura-4B,4.513,2024-12-13,apache-2.0,"💬 chat models (RLHF, DPO, IFT, ...)",16.063480369846303,38.15620331830654,22.64085672774061,4.229607250755287,5.033557046979867,7.363802083333335,18.95685579196217,,,
