Q,N,D,L,VA,VB,VI,shape,n_local_min,n_local_max,regime,g,C
0.6200709735609296,128062291.67664957,3627240345.314042,3.541865593420005,3.541865593420005,3.6914358484170986,3.542698983787274,单调上升,0,0,A,幂函数型,3.5481338923357604e+18
0.6200709735609296,134895466.88620976,3863671968.5511684,3.509421272163915,3.509421272163915,3.6436007410367752,3.5101533028750964,单调上升,0,0,A,幂函数型,3.9810717055349857e+18
0.6200709735609296,142093248.12329933,4115514732.8059134,3.477545307044239,3.477545307044239,3.5971196504935756,3.4781835536705494,单调上升,0,0,A,幂函数型,4.4668359215096166e+18
0.6200709735609296,149675090.1144891,4383773170.654031,3.446227741659195,3.446227741659195,3.5519505097174324,3.4467792610882535,单调上升,0,0,A,幂函数型,5.011872336272715e+18
0.6200709735609296,157661485.65581936,4669517292.347029,3.4154587940221854,3.4154587940221854,3.5080525766044053,3.415930159032255,单调上升,0,0,A,幂函数型,5.623413251903491e+18
0.6200709735609296,166074021.0023363,4973886853.793294,3.3852288535064035,3.3852288535064035,3.4653863923126806,3.385626185074086,单调上升,0,0,A,幂函数型,6.309573444801943e+18
0.6200709735609296,174935434.2131083,5298095902.7357855,3.355528477842968,3.355528477842968,3.423913740893366,3.3558574753298123,单调上升,0,0,A,幂函数型,7.079457843841402e+18
0.6200709735609296,184269676.60943156,5643437621.259626,3.3263483901716553,3.3263483901716553,3.3835976102141014,3.3266143595261064,单调上升,0,0,A,幂函数型,7.943282347242789e+18
0.6200709735609296,194101977.5123431,6011289483.945157,3.297679476143274,3.297679476143274,3.344402154134846,3.2978873562459325,单调上升,0,0,A,幂函数型,8.91250938133744e+18
0.6200709735609296,204458912.434396,6403118752.240946,3.2695127810728324,3.2695127810728324,3.3062926558964945,3.269667168344991,单调上升,0,0,A,幂函数型,1e+19
0.6200709735609296,215368474.91003844,6820488326.972376,3.2418395071425445,3.2418395071425445,3.269235492684121,3.2419446785304644,单调上升,0,0,A,幂函数型,1.1220184543019653e+19
0.6200709735609296,226860152.15873206,7265062982.329623,3.2146510106538537,3.2146510106538537,3.2331981013279054,3.2147109450941604,单调上升,0,0,A,幂函数型,1.2589254117941713e+19
