g,C,Q,N_B,D_B,L,s_Q,s_attn,s_train,n_local,shape,loc_Q,active
幂函数型,7.498942093324558e+17,0.6200709872657585,0.06348105880907613,1.5465123138311736,4.040914047816386,1.347662729728674e-07,0.21449515333040142,0.7855047119033256,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1e+18,0.6200709872657585,0.07229102594204904,1.8109779523531049,3.9392964044687426,1.1834257059009227e-07,0.21449515685320647,0.7855047248042228,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1.333521432163324e+18,0.6200709872657585,0.08232363702668068,2.1206695884106255,3.8420707803937635,1.0392040819561465e-07,0.21449515994669086,0.785504736132901,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1.7782794100389228e+18,0.6200709872657585,0.0937486129598521,2.4833201479682963,3.74904734788638,9.125581490971977e-08,0.21449516266318508,0.785504746081,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,2.371373705661655e+18,0.6200709872657585,0.10675913437691176,2.907987424395716,3.660044483812031,8.013465280868856e-08,0.2144951650486208,0.7855047548167264,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,3.1622776601683794e+18,0.6200709872657585,0.12157527129773872,3.405276056356201,3.574888414993046,7.036880246844217e-08,0.2144951671433486,0.7855047624878488,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,4.2169650342858225e+18,0.6200709872657585,0.13844760969157635,3.9876048341343084,3.4934128789223777,6.179309518902049e-08,0.2144951689827965,0.7855047692241083,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,5.623413251903491e+18,0.6200709872657585,0.15766151162574749,4.6695162698067945,3.4154587991421304,5.4262491210264e-08,0.2144951705980748,0.7855047751394341,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,7.498942093324558e+18,0.6200709872657585,0.1795419413814195,5.468039776139386,3.3408739746529807,4.764962648581551e-08,0.2144951720165024,0.7855047803338712,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1e+19,0.6200709872657585,0.20445890336569694,6.403118768325312,3.269512782747988,4.1842670356791526e-08,0.2144951732620665,0.7855047848952631,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1.3335214321633241e+19,0.6200709872657585,0.23283392460586586,7.498101725219436,3.2012358946905324,3.6743385024964483e-08,0.21449517435583865,0.7855047889007764,0,单调上升（下角点 $Q=Q_0$）,[],False
幂函数型,1.7782794100389229e+19,0.9999999777760276,0.5800353881461628,2.046024955612487,3.1308941318595833,0.4902375813632475,0.10934158288312411,0.4004208357536283,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,2.3713737056616554e+19,0.9999999777760276,0.6305124617732839,2.6125223785478755,3.051860482456747,0.4694136278014278,0.11380822059726393,0.41677815160130827,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,3.162277660168379e+19,0.9999999777760276,0.6862904833878175,3.3276605156547716,2.9780275289203333,0.44836808115031146,0.11832238896147486,0.4333095298882136,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,4.216965034285823e+19,0.9999999777760276,0.7480340752176242,4.227691585024071,2.9090044786698117,0.4271682562874702,0.12286964925882499,0.4499620944537048,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,5.6234132519034905e+19,0.9999999777760276,0.816501685503353,5.356850544703207,2.8444307167313783,0.4058870584504062,0.1274343636671102,0.46667857788248357,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,7.498942093324558e+19,0.9999999777760276,0.8925600343254624,6.768868846194214,2.7839735228424436,0.38460220845923115,0.131999861444857,0.4833979300959119,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1e+20,0.9999999777760276,0.9772006014544985,8.52871665715656,2.727325967843817,0.3633953458813111,0.13654863129818545,0.5000560228205034,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.333521432163324e+20,0.9999999777760276,1.0715566164367412,10.714610760396493,2.6742049748381715,0.3423513723195505,0.14106246224230842,0.5165861654381412,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,1.778279410038923e+20,0.9999999777760276,1.176925405100332,13.420296638156463,2.624349531502399,0.32155686796584815,0.14552278324318635,0.5329203487909655,0,单调下降（上角点 $Q=1$）,[],True
幂函数型,2.3713737056616553e+20,0.9999999777760276,1.2947914742750772,16.757664653366223,2.5775190407729163,0.3010989005494654,0.14991091869236436,0.5489901807581703,0,单调下降（上角点 $Q=1$）,[],True
