model,date,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,IFEval_se,BBH_se,MATH Lvl 5_se,GPQA_se,MUSR_se,MMLU-PRO_se,C8_mean6
allknowingroger__Gemma2Slerp2-27B,2024-12-06,0.7153419593345656,0.6528380489498351,0.243202416918429,0.37723214285714285,0.46164021164021163,0.46226728723404253,0.0194187691064861,0.00578544716836462,0.010730546227823781,0.02292522878095115,0.017990588184834216,0.004545471571806464,0.48542034448903776
allknowingroger__Gemma2Slerp4-27B,2024-12-06,0.7079482439926063,0.6500607533414338,0.22885196374622357,0.38169642857142855,0.4497354497354497,0.46492686170212766,0.019567429846009482,0.0057892991689914,0.01052555033087788,0.02297767932527226,0.017934495268734994,0.004547241612369884,0.48053661684821164
allknowingroger__GemmaSlerp5-10B,2024-11-22,0.6913123844731978,0.6049296997049124,0.19788519637462235,0.34598214285714285,0.4603174603174603,0.4328457446808511,0.019879245251116444,0.006100841050523834,0.010004456118058464,0.022499241830682457,0.01798124108633019,0.004517168700151089,0.4555454380680311
allknowingroger__GemmaStock1-27B,2024-12-06,0.711645101663586,0.6537059538274606,0.2590634441087613,0.38169642857142855,0.4523809523809524,0.47298869680851063,0.019493890350654804,0.0057821933532567265,0.010930485074565802,0.02297767932527226,0.01775803300030629,0.004551813743268919,0.4885800962267832
allknowingroger__Llama3.1-60B,2024-10-11,0.11829944547134935,0.32112480472140253,0.0,0.29017857142857145,0.3584656084656085,0.3310339095744681,0.013898087176706568,0.005662927266036698,0.0,0.02146611544057122,0.016950511979788727,0.004290297716911348,0.23651705661023328
allknowingroger__Mistralmash2-7B-s,2024-09-03,0.3419593345656192,0.5287276514494011,0.07099697885196375,0.31473214285714285,0.4365079365079365,0.3345246010638298,0.020413464513923615,0.006183613414305663,0.006832095394070169,0.02196579714222264,0.017783369606880713,0.00430159154618217,0.33790810754931555
allknowingroger__MistralPhi3-11B,2024-09-03,0.1367837338262477,0.6217670543308453,0.0,0.33705357142857145,0.42592592592592593,0.46875,0.01478700280068284,0.005853476928769204,0.0,0.02235810146577642,0.017669971284538837,0.004549558445209841,0.33171338091859837
allknowingroger__Phi3mash1-17B-pass,2024-09-03,0.12384473197781885,0.6110050338482902,0.0,0.3392857142857143,0.4444444444444444,0.45894281914893614,0.0141753054927666,0.005835187452464299,0.0,0.022394216573589937,0.01783010523636947,0.004543076070195207,0.3295871239508673
allknowingroger__Qwen2.5-42B-AGI,2024-10-21,0.1367837338262477,0.29057455302898805,0.0,0.23660714285714285,0.3611111111111111,0.11677194148936171,0.014787002800682857,0.005645981066833156,0.0,0.020101765858195807,0.017081315860983402,0.0029278904004144263,0.19030808038547523
allknowingroger__Qwen2.5-7B-task3,2024-11-06,0.4454713493530499,0.5361916333969797,0.20996978851963746,0.31919642857142855,0.4351851851851852,0.45013297872340424,0.02138823777906319,0.006234587478711546,0.010696772310748136,0.02204886116457606,0.017850258348482514,0.0045357424827056295,0.39935789395828086
allknowingroger__Qwen2.5-7B-task4,2024-11-06,0.4399260628465804,0.5552855407047388,0.2673716012084592,0.32589285714285715,0.43915343915343913,0.45611702127659576,0.021360708220801928,0.006193514886055836,0.01138051001620736,0.02216910313464343,0.01792835565426392,0.004540879842207335,0.4139577537221118
allknowingroger__QwenSlerp12-7B,2024-11-22,0.4491682070240296,0.5533761499739629,0.2673716012084592,0.31919642857142855,0.458994708994709,0.4460605053191489,0.021405093233588298,0.006213121725302277,0.011257400166321,0.02204886116457606,0.01804797743376274,0.004531867334461614,0.41569460018195636
allknowingroger__Qwenslerp3-14B,2024-10-21,0.43253234750462105,0.6498871723659086,0.27416918429003023,0.37276785714285715,0.4669312169312169,0.5394780585106383,0.021319792398178074,0.005824922925952083,0.011803737302566526,0.02287070857162461,0.017977224538469887,0.004544239297008863,0.4559609727908787
allknowingroger__Qwenslerp3-7B,2024-11-06,0.44731977818853974,0.5551119597292137,0.2824773413897281,0.34375,0.45105820105820105,0.45420545212765956,0.021396815020425928,0.00617574091653218,0.011502880881248777,0.02246478414865448,0.018007684241288385,0.004539310647090714,0.42232045541555707
allknowingroger__QwenSlerp4-14B,2024-12-06,0.5748613678373382,0.6464155528554071,0.30966767371601206,0.3705357142857143,0.4642857142857143,0.5435505319148937,0.021274039805355655,0.005821069227303657,0.011912830976781691,0.022842667733482962,0.017971640183318614,0.0045411458630293345,0.4848860924825133
