model_dir,BBH,GPQA,IFEval,MATH Lvl 5,MMLU-PRO,MUSR
DreadPoor_Zelus_V2-8B-Model_Stock,53.34143377885784,30.956375838926174,78.98243327703825,20.54380664652568,38.3311170212766,39.55026455026455
DreadPoor_felix_dies-mistral-7B-model_stock,48.77625412254817,29.194630872483224,30.077860077926566,5.362537764350453,31.092087765957448,45.10582010582011
DreadPoor_hakuchido-8B-MODEL_STOCK,53.792744315223054,29.53020134228188,73.75175645066203,19.486404833836858,37.815824468085104,41.66666666666667
DreadPoor_ichor-8B-Model_Stock,50.75507724353411,32.38255033557047,53.86319410275846,10.876132930513595,31.507646276595747,42.06349206349206
DreadPoor_ichor_1.1-8B-Model_Stock,52.57767748654747,30.620805369127517,80.9632885189076,17.749244712990937,38.55551861702128,40.60846560846561
DreadPoor_inexpertus-8B-Model_Stock,52.629751779205,30.956375838926174,77.95327508787796,17.069486404833835,37.907247340425535,41.13756613756614
DreadPoor_inexpertus_1.1-8B-LINEAR,55.09460163166116,29.78187919463087,75.27050448365891,17.29607250755287,38.272938829787236,41.66666666666667
DreadPoor_inexpertus_1.2-8B-LINEAR,55.05988543655616,29.53020134228188,73.47947889377961,15.861027190332324,37.882313829787236,41.269841269841265
DreadPoor_mergekit-nuslerp-nqzkedi,53.51501475438292,30.11744966442953,77.64852812759035,18.806646525679756,39.187167553191486,42.195767195767196
DreadPoor_remember_to_breathe-8b-Model-Stock,53.94896719319563,30.11744966442953,71.04150321147887,14.879154078549849,37.60804521276596,41.4021164021164
DreadPoor_test,53.445582364172886,27.097315436241608,49.36945083489586,19.335347432024168,36.46941489361702,43.386243386243386
DreadPoor_test_ALT,53.445582364172886,26.929530201342285,49.9689712185889,17.069486404833835,34.92353723404255,43.51851851851852
DreadPoor_tests_pending-do_not_use_yet,53.82746051032807,29.697986577181208,76.91414336183549,19.788519637462233,38.272938829787236,39.94708994708995
EVA-UNIT-01_EVA-Qwen2.5-14B-v0.2,60.80541572643639,39.42953020134228,40.38429145777648,34.06344410876133,51.35472074468085,47.883597883597886
EVA-UNIT-01_EVA-Qwen2.5-72B-v0.2,70.54330845339351,40.855704697986575,68.78837041272712,39.04833836858006,58.128324468085104,47.08994708994709
Edgerunners_meta-llama-3-8b-instruct-hf-ortho-baukit-34fail-3000total-bf16,49.66151709772609,26.006711409395972,71.47114101694613,8.308157099697885,36.36136968085106,33.33333333333333
EleutherAI_gpt-j-6b,31.678528033327545,24.580536912751676,25.22185578708937,1.3595166163141994,12.408577127659575,36.507936507936506
EleutherAI_gpt-neo-1.3B,30.08158305849679,25.587248322147648,20.790502533278364,1.0574018126888218,11.63563829787234,38.095238095238095
EleutherAI_gpt-neo-125m,30.914771741017184,25.335570469798657,19.054442213327306,0.6042296072507553,10.255984042553191,35.84656084656085
EleutherAI_gpt-neo-2.7B,31.05363652143725,26.593959731543627,25.89628851447493,1.0574018126888218,11.627327127659575,35.44973544973545
EleutherAI_gpt-neox-20b,31.3660822773824,24.328859060402685,25.86880587951081,1.3595166163141994,11.55252659574468,36.37566137566138
EleutherAI_pythia-1.4b,31.192501301857316,26.174496644295303,23.708094522533543,1.5105740181268883,11.228390957446809,35.317460317460316
EleutherAI_pythia-12b,31.609095643117513,24.664429530201343,24.71475684517081,1.6616314199395772,11.087101063829788,36.37566137566138
EleutherAI_pythia-160m,29.352542961291444,25.838926174496645,18.155161637787735,0.906344410876133,11.195146276595745,41.66666666666667
EleutherAI_pythia-1b,29.699704912341605,25.671140939597315,22.079415949680183,0.3021148036253776,11.361369680851062,35.44973544973545
EleutherAI_pythia-2.8b,32.06040617948273,25.0,21.732226049105265,1.3595166163141994,11.36968085106383,34.78835978835979
EleutherAI_pythia-410m,29.942718278076725,25.922818791946305,21.954525104500505,0.9818731117824773,11.278257978723403,35.714285714285715
EleutherAI_pythia-6.9b,32.02568998437771,25.16778523489933,22.811362739752745,0.7552870090634441,11.46941489361702,35.84656084656085
Enno-Ai_EnnoAi-Pro-French-Llama-3-8B-v0.4,40.427009199791705,27.097315436241608,41.88807918545016,0.6042296072507553,26.346409574468083,41.66666666666667
Enno-Ai_EnnoAi-Pro-Llama-3-8B,41.086616906787015,26.174496644295303,31.953771548380516,2.190332326283988,21.5093085106383,40.60846560846561
Enno-Ai_EnnoAi-Pro-Llama-3-8B-v0.3,40.704738760631834,26.51006711409396,50.82569803676466,4.833836858006042,29.903590425531917,42.32804232804233
Enno-Ai_EnnoAi-Pro-Llama-3.1-8B-v0.9,41.20812358965457,26.593959731543627,46.891470187990095,3.7764350453172204,25.955784574468083,38.22751322751323
EnnoAi_EnnoAi-Pro-Llama-3.1-8B-v1.0,41.20812358965457,26.593959731543627,47.04384366813389,0.0,25.955784574468083,38.22751322751323
Epiculous_Azure_Dusk-v0.2,40.93039402881444,26.090604026845636,34.6715603487635,2.9456193353474323,30.344082446808514,38.22751322751323
Epiculous_Crimson_Dawn-v0.2,44.61031070994619,27.600671140939596,31.034543899076674,4.305135951661631,27.210771276595747,41.4021164021164
Epiculous_NovaSpark,50.37319909737893,29.78187919463087,64.08473960203371,15.181268882175228,36.48603723404255,38.75661375661375
Epiculous_Violet_Twilight-v0.2,45.91216802638431,26.593959731543627,45.317756885064966,2.870090634441088,31.10871010638298,42.857142857142854
EpistemeAI2_Athene-codegemma-2-7b-it-alpaca-v1.2,41.34698837007464,27.097315436241608,43.511770989862455,3.3987915407854987,22.972074468085108,41.66666666666667
EpistemeAI2_Fireball-12B-v1.2,49.93924665856622,29.86577181208054,13.553925805750962,4.1540785498489425,33.36934840425532,41.66666666666667
EpistemeAI2_Fireball-Alpaca-Llama3.1-8B-Philos,49.6962332928311,29.278523489932883,49.8640274471735,11.858006042296072,34.059175531914896,42.72486772486773
EpistemeAI2_Fireball-Alpaca-Llama3.1.01-8B-Philos,49.453219927095994,28.859060402684566,42.11791380204524,13.595166163141995,33.834773936170215,43.65079365079365
EpistemeAI2_Fireball-Alpaca-Llama3.1.03-8B-Philos,49.401145634438464,27.85234899328859,38.80814017916905,12.83987915407855,33.552194148936174,42.72486772486773
EpistemeAI2_Fireball-Alpaca-Llama3.1.04-8B-Philos,49.158132268703355,29.026845637583893,40.84396069096663,10.27190332326284,34.025930851063826,43.65079365079365
