cN,cD,eta,Qref,C,g_form,N,D,Q,L,share_quality,tpp,regime
0.5505921852522544,0.3301374215112894,0.5398476682356659,0.6917492116545473,1e+24,exp,33521856996.878468,4581663677328.469,1.0,1.8557513050218701,0.015575978168985156,136.6769053920584,R2 质量饱和(Q*=1)
0.5505921852522544,0.3301374215112894,0.5398476682356659,0.6917492116545473,1e+24,power,33601483647.917835,4561478248729.165,1.0,1.8558069164899018,0.017584989182826073,135.75228690867118,R2 质量饱和(Q*=1)
0.5505921852522544,0.3301374215112894,0.5398476682356659,0.6917492116545473,1e+24,log,33035144851.684597,4708104445759.188,1.0,1.8554127099676585,0.0030962450494157146,142.51805060631065,R2 质量饱和(Q*=1)
0.5505921852522544,0.3301374215112894,0.5398476682356659,0.6917492116545473,1e+24,filter,35892436847.31613,4072108608555.915,0.9863625035174903,1.8590144813645495,0.06318631731451152,113.4531106338189,R1 质量内点(Q0<Q*<1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+19,exp,484232503.27965397,1527426088.3129818,1.0,2.890789322740102,0.5259271664922095,3.1543237555676074,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+19,power,509512287.6343168,1389391496.5050912,1.0,2.9084279574308183,0.5462566989672436,2.7269047876275643,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+19,log,292578759.6095984,3901466038.008199,1.0,2.752771147096087,0.26835307315167845,13.334754864687064,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+19,filter,329162810.71222556,3241245541.5540385,0.8671897348569653,2.8901873885028206,0.31616138310054615,9.846937248289983,R1 质量内点(Q0<Q*<1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+22,exp,5170400766.76771,273347828934.11334,1.0,2.0362833445832083,0.09411980732691115,52.867822295523425,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+22,power,5241825460.7335205,266456131229.29172,1.0,2.037031849347451,0.10476057110686528,50.83269811734725,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+22,log,4731398855.300907,322432946459.8427,1.0,2.031768923267792,0.022177784254665232,68.14748794610693,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+22,filter,5579374672.684088,239408865253.00134,0.9669525107657622,2.049724967434827,0.1438365524176344,42.909623263896734,R1 质量内点(Q0<Q*<1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+24,exp,37512783725.63249,4100290421303.6816,1.0,1.8557136023021523,0.014118222410703768,109.30381630147998,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+24,power,37598428192.019,4082924010176.189,1.0,1.8557660784522128,0.016052528013473222,108.59294408064828,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+24,log,37022743578.521736,4201878346192.6167,1.0,1.855414489465053,0.002890162201145146,113.49451553423722,R2 质量饱和(Q*=1)
0.4907658663399215,0.404350945287965,0.634399777156074,0.6798895731076855,1e+24,filter,39916131718.02227,3665611083755.0015,0.9874564579073816,1.8588801524765912,0.06216646164175151,91.83282362253469,R1 质量内点(Q0<Q*<1)
0.5789586733004009,0.2878470937975938,0.6592805592238664,0.6843997523149343,1e+19,exp,345804863.86501807,2659137479.89031,0.895216625439746,2.9275217701726413,0.4106099275243625,7.689705257958087,R1 质量内点(Q0<Q*<1)
