id,domain,fineweb_edu,fluency_en,modernbert_cleanliness,modernbert_readability,modernbert_reasoning,modernbert_professionalism,dsir_books,dsir_wiki,dsir_math,qurater,ad_en,rps_doc_word_count,rps_doc_num_sentences,rps_doc_unigram_entropy,rps_doc_frac_unique_words,rps_doc_frac_no_alph_words,rps_doc_frac_chars_top_2gram,rps_doc_frac_chars_top_3gram,rps_lines_uppercase_letter_fraction,rps_lines_ending_with_terminal_punctution_mark,rps_lines_numerical_chars_fraction,rps_doc_mean_word_length
BkiUba7xK7ICUuXejfKA,arxiv,2.785762310028076,-0.158203125,-0.586151123046875,-0.5725911458333334,-0.5166015625,-0.087890625,-62820.62092653,-61523.75808963,-40515.4106032,4.91455078125,0.15625,8683.0,709.0,6.16230003,20.44224346424047,34.854376054581465,1.0657537785815785,1.2207725100116262,11.1250367856383,15.015015015015015,4.40984354150715,5.349072901071058
BkiUdr05qhLBSMLQwTVy,arxiv,2.06125545501709,-0.1923828125,-0.4617513020833333,-0.6695963541666666,-0.51171875,-0.07161458333333333,-26650.61431406,-26518.1512821,-17193.8269274,4.816650390625,0.28125,4149.0,281.0,5.71566488,24.0,28.271426274320632,0.9876651595627937,0.9876651595627937,31.600968361620463,54.25531914893617,1.6174147330716488,5.490720655579658
BkiUafLxK6nrxjHy-94F,arxiv,2.156371593475342,-0.056640625,-0.58673095703125,-0.5567220052083334,-0.4876302083333333,-0.05859375,-16025.74315287,-15839.73709806,-10580.13283494,3.90521240234375,0.203125,2329.0,130.0,5.58400883,30.141691713181622,30.338331887470574,1.4283240997229918,1.4629501385041552,12.762337305619537,16.717325227963524,3.3498082356212975,4.960068699012452
BkiUdXU25V5hRtkVbIjE,arxiv,1.6767581701278687,-0.11328125,-0.6169026692708334,-0.5906575520833334,-0.3362833658854167,-0.15462239583333334,-17179.76490593,-16779.55646772,-14820.21331715,3.66845703125,0.3388671875,4242.0,335.0,5.88740756,26.237623762376238,27.975437962795738,1.1066635271956675,0.5651047798445962,11.931531680852823,26.838966202783297,5.426696331485231,5.005893446487506
BkiUc7U5qoYAm1d-CtzM,arxiv,2.636876106262207,-0.119140625,-0.3929850260416667,-0.5227864583333334,-0.343505859375,-0.13704427083333334,-23008.36925139,-22040.72149334,-17564.15953698,4.509765625,0.3603515625,3597.0,267.0,6.05496608,29.051987767584098,33.686758096116165,0.5440013390802193,0.4393856969494079,18.861923645753734,32.0855614973262,3.86912583708889,6.643591882123992
BkiUb_jxK6wB9mn492KW,arxiv,2.464388608932495,-0.0869140625,-0.6014506022135416,-0.4998372395833333,-0.509765625,-0.030924479166666668,-14628.05878955,-14447.28466528,-10360.87637661,4.77880859375,0.173828125,2602.0,145.0,5.76600446,32.09069946195234,25.699732185054884,1.0502730709984596,0.45511833076599917,15.035107974441933,27.95275590551181,1.5768067276166138,5.488854727132975
BkiUbeU4eIZijcNzWmkU,arxiv,1.4346929788589478,-0.150390625,-0.4236246744791667,-0.3526204427083333,-0.3043619791666667,0.01708984375,-31375.96714075,-31474.58817554,-21358.7303353,5.74267578125,0.2490234375,4247.0,187.0,5.62138312,19.84930539204144,37.334424765590114,0.645843772618451,1.1302266020822893,55.390436370694054,79.7872340425532,4.217812271636926,4.229102896161996
BkiUe2Y5qhLBhZ3KF2wc,arxiv,3.1198456287384033,-0.099609375,-0.7711588541666666,-0.7799479166666666,-0.44775390625,-0.4479166666666667,-8952.88376251,-8714.33625125,-7609.28332923,5.42822265625,-0.16552734375,1513.0,117.0,5.47705321,37.0957095709571,24.84767025089606,3.4171428571428573,1.1428571428571428,15.918360466826838,41.31455399061033,3.620197601821166,5.783212161269002
BkiUdfk5qYVBgCinOdn5,arxiv,1.4647367000579834,-0.130859375,-0.4120686848958333,-0.4879557291666667,-0.48583984375,0.0006510416666666666,-22557.06775168,-22581.52609723,-14681.09277031,4.114501953125,0.322265625,4545.0,203.0,5.78229468,25.302530253025303,25.84296580223993,1.1570841479471732,0.9575868810597296,26.474431458275305,36.00891861761427,1.740537743313509,5.514411441144114
BkiUa4XxK1UJ-rRH-KRl,arxiv,1.750754714012146,-0.115234375,-0.447998046875,-0.49755859375,-0.3434244791666667,-0.072265625,-61163.32464277,-60259.08810309,-44479.77730366,5.1162109375,0.2099609375,7797.0,634.0,5.89664355,21.187636270360393,27.23100244224237,1.0935093090922923,0.9984215430842668,16.372294104504448,32.27752639517345,1.476827581805191,6.744004104142619
BkiUdr84eIZijW5EQhlP,arxiv,1.8154103755950928,-0.1005859375,-0.6393661499023438,-0.4727376302083333,-0.46484375,-0.061197916666666664,-138609.54186076,-137315.58057686,-92674.47000521,4.206787109375,0.1376953125,5874.0,440.0,6.48313946,33.350357507660874,37.83741280343283,0.4984608926822443,0.2798376941374003,12.482398752510903,20.1423487544484,3.941119369894345,9.733741913517195
BkiUcDTxK6EuNCwyuJ-3,arxiv,1.6676241159439087,-0.14453125,-0.5173695882161459,-0.4837239583333333,-0.4016927083333333,-0.012044270833333334,-103069.52110333,-101075.45871189,-56219.91751876,5.7822265625,0.244140625,14193.0,665.0,6.49741553,20.968082857746776,35.77059312392586,1.691911632640843,0.7244207627372329,16.82444295965479,28.730226592560925,6.150198937249822,5.884238709222856
BkiUecDxK7Ehm4VQwHvv,arxiv,1.7389212846755981,0.1011962890625,-0.5732320149739584,-0.5218098958333334,-0.3866373697916667,-0.1123046875,-64400.27961061,-64074.26083723,-42513.01389173,1.7034149169921875,0.2646484375,13691.0,1098.0,6.25221702,15.009860492294209,27.331758051612184,0.7324734012836907,0.28678195880768226,13.388438287144847,28.296547821165817,5.96426362770886,5.883354028193704
BkiUbjA5qU2Aps3F6Egg,arxiv,1.6689081192016602,-0.005859375,-0.24348958333333334,-0.3844401041666667,-0.3125,-0.09765625,-49655.08412292,-49232.70929823,-33745.71250161,4.01171875,-0.145263671875,11521.0,970.0,6.18059746,16.491623990973007,25.48976423041769,0.46544100535257155,0.5803467535489877,23.19093611539842,53.777472527472526,1.909149639866104,5.967537540144085
BkiUa-g4uBhhxE6Lw7pD,arxiv,2.9250893592834473,-0.1005859375,-0.4370524088541667,-0.4583333333333333,-0.3655598958333333,-0.14876302083333334,-24234.22467757,-23495.02311483,-17638.12380054,3.71728515625,0.154296875,2959.0,332.0,5.5226238,28.793511321392362,37.39996665555185,1.851737547064996,0.48145176223689895,7.218509139256082,12.34866828087167,7.527101105819117,5.475160527205137
BkiUbeTxK6nrxpQczokk,arxiv,2.759490966796875,-0.0263671875,-0.50555419921875,-0.34423828125,-0.3837890625,-0.0986328125,-17278.62045794,-16915.91439405,-12482.61022493,5.222412109375,0.17578125,4026.0,207.0,5.73300133,24.9130650769995,24.07172489457264,1.1682242990654206,1.1990830541350732,37.23664974987846,55.88235294117647,4.342100749300161,5.634376552409339
BkiUdQPxK6nrxl9bNby_,arxiv,1.5093339681625366,-0.1259765625,-0.5990193684895834,-0.6302083333333334,-0.55419921875,-0.06901041666666667,-38460.88711019,-38146.88958182,-25321.05023151,5.06298828125,0.3642578125,3055.0,162.0,5.77076292,31.554828150572835,35.27300207821651,1.2980269989615785,0.5947323704333051,3.6597268827251983,8.223684210526317,2.8969556099961173,6.934860883797054
