Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
icefog72/Ice0.39-19.11-RP,2024-11-20,7.242,21.33876534002405,22.196849047764164,merge,False,(缺失),47.565902915375645,31.2636273781982,4.984894259818732,8.05369127516779,12.534895833333335,23.62958037825059,
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,2024-11-20,8.03,28.56857495894073,25.60697226832699,chat,True,apache-2.0,71.89579205397234,30.84806521622957,24.773413897280967,7.38255033557047,6.150000000000006,30.361628250591018,
ZeroXClem/Qwen-2.5-Aether-SlerpFusion-7B,2024-11-20,7.616,30.11832980281197,28.39012468517745,merge,True,apache-2.0,62.61597007052399,36.01120909918873,27.34138972809668,6.487695749440718,11.28932291666667,36.96439125295508,
bunnycore/Qandora-2.5-7B-Creative,2024-11-20,7.616,32.10182633953863,30.15876730370372,merge,False,(缺失),68.03148978044922,36.424651784758105,30.589123867069485,8.05369127516779,10.8484375,38.66356382978723,
zelk12/MT3-Gen2-gemma-2-9B,2024-11-20,10.159,34.34982932139744,33.18260194402795,merge,False,(缺失),78.43289139483238,43.94022574925496,22.356495468277945,14.317673378076066,10.022656250000002,37.02903368794326,
gmonsoon/StockSeaLLMs-7B-v1,2024-11-20,7.616,25.09345053151665,25.121398902606625,chat,False,(缺失),45.99218961245052,34.01262496222566,19.637462235649547,7.046979865771815,11.071875000000004,32.79957151300236,
DreadPoor/CoolerCoder-8B-LINEAR,2024-11-20,8.03,19.437537566560177,18.996689816617188,merge,False,(缺失),45.19286603988529,26.365382993394,7.930513595166164,5.369127516778524,7.777604166666667,23.98973108747045,
icefog72/Ice0.40-20.11-RP,2024-11-21,7.242,21.79272576511275,22.767154679495427,merge,True,cc-by-nc-4.0,47.62585495374495,31.50523985734019,6.419939577039275,7.606263982102905,14.274218749999996,23.324837470449168,
ZeroXClem/Qwen2.5-7B-HomerCreative-Mix,2024-11-21,7.616,34.907245009987854,32.042392962156875,merge,True,apache-2.0,78.35044348994003,36.7707223822516,35.64954682779456,6.599552572706939,13.76979166666667,38.30341312056737,
FuseAI/FuseChat-7B-v2.0,2024-11-21,7.242,20.14636743747765,23.070801990655905,finetuned,True,apache-2.0,34.23194900641409,29.341638180782923,6.117824773413897,6.935123042505594,20.224999999999994,24.02666962174941,
FlofloB/test_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,2024-11-21,16.0,24.48570245546706,24.77526722189099,pretrained,True,apache-2.0,52.15461641777151,32.882433170322564,11.027190332326285,8.165548098434002,12.452083333333327,30.232343380614655,
ZeroXClem/Qwen2.5-7B-HomerAnvita-NerdMix,2024-11-21,7.616,35.64186520551805,33.618281155917174,merge,True,apache-2.0,77.07649037886142,36.579205629985445,38.36858006042296,9.284116331096197,14.414843750000005,38.12795508274231,
AALF/FuseChat-Llama-3.1-8B-SFT-preview,2024-11-21,8.03,29.225292099823264,26.785100487161447,finetuned,False,(缺失),72.80504616639405,32.53678156315301,22.507552870090635,7.270693512304249,9.749999999999998,30.48167848699764,
goulue5/merging_LLM,2024-11-22,1.544,16.712100078199907,18.245505453125155,merge,False,(缺失),32.32600610823725,18.28283029131199,9.667673716012084,5.480984340044745,12.76015625,21.75494976359338,
zelk12/MT4-Gen2-gemma-2-9B,2024-11-22,10.159,35.05354383653148,33.62675851964653,merge,False,(缺失),80.50616807847622,44.17665766133724,23.26283987915408,12.751677852348994,12.207031250000002,37.41688829787233,
allknowingroger/GemmaSlerp-9B,2024-11-22,9.242,33.18611821246378,33.550662484564015,merge,True,apache-2.0,70.4320092909037,41.55603152984087,21.6012084592145,12.527964205816552,17.882031249999994,35.117464539007095,
allenai/Llama-3.1-Tulu-3-8B-SFT,2024-11-22,8.03,22.596940551752763,20.033663939682505,chat,True,llama3.1,74.03400754442657,13.931208168262556,11.782477341389727,3.691275167785232,12.013020833333334,20.12965425531915,
allknowingroger/HomerSlerp4-7B,2024-11-22,7.616,29.144845188798246,29.974414600912,merge,True,apache-2.0,43.74160560645754,36.7868341584624,32.703927492447136,9.284116331096197,13.77213541666667,38.58045212765956,
allenai/Llama-3.1-Tulu-3-8B-DPO,2024-11-22,8.0,26.463980035063702,23.30727178769756,chat,True,llama3.1,80.29384255996311,17.42601622698448,23.6404833836858,5.8165548098434,10.516927083333336,21.0900561465721,
allknowingroger/Marco-01-slerp1-7B,2024-11-22,7.616,29.48531675671586,30.150387869166163,merge,True,apache-2.0,46.811571075856506,36.23184676022296,31.57099697885196,8.948545861297541,14.648437500000002,38.70050236406619,
Sicarius-Prototyping/bacon_and_food,2024-11-22,8.03,22.242423887650176,21.189733619444272,chat,True,creativeml-openrail-m,58.60428108529812,24.93079263718865,9.818731117824774,7.941834451901568,7.014843750000002,25.144060283687946,
kms7530/chemeng_qwen-math-7b_24_1_100_1_nonmath,2024-11-22,15.231,16.982090044361417,17.947637820094073,chat,True,apache-2.0,25.836336476105625,14.135344732061384,30.966767371601208,5.369127516778524,9.453906249999998,16.13105791962175,
allknowingroger/HomerSlerp1-7B,2024-11-22,7.616,28.48374237557012,29.125195018070137,merge,True,apache-2.0,46.21205069216346,36.25986284709981,27.19033232628399,9.060402684563762,13.2484375,38.93136820330969,
BSC-LT/salamandra-7b,2024-11-22,7.768,5.704911444345451,6.6862386443955035,pretrained,True,apache-2.0,13.673829882489574,10.157421990520298,0.3776435045317221,2.684563758389265,1.86171875,5.474290780141842,
FlofloB/10k_continued_pretraining_Phi-3-mini-4k-instruct_Unsloth_merged_16bit,2024-11-22,16.0,24.04356389387962,24.242391262818497,pretrained,True,apache-2.0,50.9730847484674,32.60779983085876,9.743202416918429,6.599552572706939,13.569791666666662,30.76795212765957,
allknowingroger/GemmaSlerp2-9B,2024-11-22,9.242,34.25757823554644,34.978425622407244,merge,True,apache-2.0,72.81003293483514,42.541032642532,21.07250755287009,13.646532438478744,19.489843749999995,35.985520094562645,
netcat420/MFANN3bv0.24,2024-11-22,2.78,11.81028360635554,12.515272608303125,finetuned,True,mit,22.00450360598767,21.54538472469568,2.794561933534743,1.1185682326621946,8.375781250000001,15.022901891252952,
allknowingroger/GemmaSlerp5-10B,2024-11-22,10.159,34.382403041414115,34.56488627471245,merge,True,apache-2.0,73.53444416370786,43.53846364760333,21.827794561933533,13.646532438478744,16.764322916666668,36.98286052009456,
allknowingroger/HomerSlerp2-7B,2024-11-22,7.616,28.948900169100085,29.604114613847134,merge,True,apache-2.0,44.868172005833415,37.96030019842789,29.68277945619335,9.284116331096197,12.846614583333334,39.05141843971632,
ZeroXClem/L3-Aspire-Heart-Matrix-8B,2024-11-22,8.03,25.81522350685034,26.77072477332562,merge,True,apache-2.0,48.33530587729446,34.30754710829408,18.27794561933535,9.955257270693512,13.071875,30.94341016548463,
