Model,date,#Params (B),S_avg,S_pc1,mtype,open_R2,lic,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,C_FLOPs
zelk12/MT5-Gen2-gemma-2-9B,2024-11-23,10.159,34.55154984197392,33.151872545808786,merge,False,(缺失),79.62439660101863,44.11321466977781,22.05438066465257,13.534675615212524,10.436458333333333,37.54617316784869,
CultriX/Qwestion-14B,2024-11-23,14.766,38.54922603408469,39.71586039697265,merge,False,(缺失),63.17803428237077,48.75703449690036,37.235649546827794,15.771812080536916,17.217187500000005,49.13563829787233,
gmonsoon/SahabatAI-Rebase-8B-Test,2024-11-23,8.03,23.51679147976689,22.866999286989106,chat,False,(缺失),51.56263159527831,32.00222111760954,11.48036253776435,5.033557046979867,11.426822916666664,29.595153664302604,
bunnycore/Tulu-3.1-8B-SuperNova,2024-11-23,8.03,30.991375681506,27.463302635087153,merge,False,(缺失),81.93748143813968,32.499170772496946,24.62235649546828,6.935123042505594,8.687500000000002,31.26662234042553,
bunnycore/CyberCore-Qwen-2.1-7B,2024-11-23,7.616,30.98421070085202,29.43432645130802,merge,False,(缺失),57.65757080103016,36.96653253167443,35.87613293051359,7.718120805369126,9.411197916666667,38.27570921985816,
gmonsoon/SahabatAI-Llama-11B-Test,2024-11-23,11.52,16.26561908313948,16.654069476765304,merge,True,llama3,33.75731946790073,24.457264432236546,3.096676737160121,4.250559284116329,7.78359375,24.248300827423165,
qingy2019/OpenMath2-Llama3.1-8B,2024-11-23,8.0,12.751664730325508,11.944309412842278,finetuned,False,(缺失),23.305939352030396,16.294369976218587,26.73716012084592,2.0134228187919474,2.010677083333334,6.148419030732861,
divyanshukunwar/SASTRI_1_9B,2024-11-23,5.211,19.42175962571148,19.900689020963007,finetuned,True,apache-2.0,42.07292206899915,23.534216256795457,11.555891238670696,9.50782997762864,5.555989583333333,24.30370862884161,
BenevolenceMessiah/Qwen2.5-72B-2x-Instruct-TIES-v1.0,2024-11-24,72.7,42.26732013588396,42.51407376420661,merge,False,(缺失),54.73499204333391,61.91149453060484,57.85498489425982,15.659955257270694,12.016666666666673,51.425827423167846,
dwikitheduck/gen-inst-1,2024-11-24,14.77,40.88019801465988,39.93122446052459,chat,True,apache-2.0,77.50114141588762,48.31674208220422,45.54380664652568,16.21923937360179,12.26770833333333,45.43255023640663,
suayptalha/HomerCreativeAnvita-Mix-Qw7B,2024-11-24,7.616,35.464381527434064,33.29128024005951,merge,True,apache-2.0,78.07816593305762,36.98416750362379,36.102719033232624,8.612975391498878,14.732552083333337,38.27570921985816,
ehristoforu/RQwen-v0.1,2024-11-24,14.77,39.73075710536471,36.94679914380896,finetuned,True,apache-2.0,76.24968417133206,48.49085165760342,46.45015105740181,10.067114093959727,10.438281250000005,46.68846040189125,
dwikitheduck/gemma-2-2b-id-inst,2024-11-24,2.0,14.849648233221265,15.99554030135317,chat,True,gemma,38.785644312646,15.415129369168447,4.531722054380665,6.599552572706939,10.728385416666669,13.037455673758863,
qingy2019/Oracle-14B,2024-11-24,13.668,13.593017488054064,14.368650805616745,merge,False,(缺失),24.007854714380063,23.30194605898976,7.250755287009064,1.45413870246085,10.225,15.318410165484634,
kms7530/chemeng_phi-3-mini-4k-instruct-bnb-4bit_16_4_100_1_nonmath,2024-11-25,4.132,22.110300080411186,22.05602651408833,finetuned,True,apache-2.0,48.63251727638222,29.25963050568337,10.80060422960725,8.05369127516779,8.351822916666668,27.56353427895981,
Delta-Vector/Control-8B-V1.1,2024-11-25,8.03,24.632508988415825,24.17658952887262,finetuned,False,(缺失),56.96562897556262,28.725850265520112,12.764350453172204,7.606263982102905,11.2328125,30.50014775413712,
oopere/pruned60-llama-1b,2024-11-25,0.753,5.46756672622325,6.685729293569974,pretrained,True,llama3.2,18.285039251408485,2.9425264807533544,0.2265861027190332,0.0,9.432291666666666,1.9189568557919612,
ehristoforu/RQwen-v0.2,2024-11-25,14.77,37.702469412365296,36.06537167465329,finetuned,True,apache-2.0,75.03568309862277,48.68383680717029,32.703927492447136,11.6331096196868,11.950000000000005,46.208259456264784,
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,2024-11-25,0.5,8.381580312764262,7.787396151748698,pretrained,True,apache-2.0,30.157759190060155,7.532089563374818,3.3232628398791544,2.348993288590602,1.5361979166666664,5.391179078014184,
zelk12/MT-Merge2-gemma-2-9B,2024-11-25,10.159,34.82072732965434,33.596471606177985,merge,False,(缺失),78.77010775852516,44.15719687702352,23.48942598187311,13.422818791946312,11.510937500000002,37.57387706855792,
FlofloB/10k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,2024-11-25,0.5,8.363924265648496,8.345079599654918,pretrained,True,apache-2.0,28.154408081667757,7.530228683558659,3.096676737160121,3.9149888143176734,1.47734375,6.009899527186761,
Delta-Vector/Control-8B,2024-11-25,8.03,25.058025917312307,25.38189158239756,finetuned,False,(缺失),54.89733906035985,29.15507782169402,13.897280966767372,8.83668903803132,13.209374999999994,30.352393617021285,
icefog72/IceDrunkenCherryRP-7b,2024-11-25,7.242,21.79272576511275,22.767154679495427,merge,True,cc-by-nc-4.0,47.62585495374495,31.50523985734019,6.419939577039275,7.606263982102905,14.274218749999996,23.324837470449168,
unsloth/Phi-3-mini-4k-instruct,2024-11-25,3.821,27.342019856110284,27.756938767440076,merge,True,mit,54.4027624480822,36.73247326561403,16.389728096676738,9.731543624161072,13.118749999999997,33.67686170212765,
AGI-0/smartllama3.1-8B-001,2024-11-25,8.03,20.42455207766212,22.328301245185724,finetuned,False,unknown,35.178659290682056,24.8577369132814,12.990936555891238,7.494407158836691,14.397395833333333,27.628176713947987,
nbeerbower/Mistral-Nemo-Moderne-12B-FFT-experimental,2024-11-26,12.248,18.119465502148437,17.65386403540002,finetuned,True,apache-2.0,33.52249808286457,32.0715397550976,7.7039274924471295,4.138702460850116,4.002864583333334,27.277260638297868,
