model_dir,n_tasks,mean_all,ifeval,bbh,math,gpqa,musr,mmlu_pro
DreadPoor_BaeZel_V2_ALT-8B-Model_Stock,44,43.77333182483653,78.69890778689434,53.72976807265798,16.052737413286405,30.023907393873838,41.843485449735454,39.469747340425535
DreadPoor_BaeZel_V3-8B-Model_Stock,44,44.370003719285236,79.97784766641402,53.916504493681686,17.420770349572546,32.50769172801472,41.72447916666666,38.87965425531915
DreadPoor_Blunt_Edge-8B-SLERP,44,44.01152017815603,76.65560712243513,53.88854709237404,16.5526916457977,31.65278484332595,41.719791666666666,37.66622340425532
DreadPoor_BulkUp,44,22.969364000194613,17.67432634299215,28.68171246630631,0.0,24.679352154184368,34.4478835978836,11.095412234042554
DreadPoor_Cadence-8B-LINEAR,44,43.94265288627636,78.51157151912481,54.325838382971966,15.024731039229913,30.622866542015032,41.71744791666667,38.03191489361702
DreadPoor_Caelid-8B-Model_Stock,44,43.690501991790356,74.6659973315248,54.58960964735973,13.535956625968984,31.787038406690254,39.994584986772495,38.16489361702128
DreadPoor_Casuar-9B-Model_Stock,44,48.998712277627966,78.83504656533555,61.06191724242023,18.586205778785747,34.715225350711926,41.62422288359788,41.56416223404255
DreadPoor_Condensed_Milk-8B-Model_Stock,44,44.2118737871151,76.90040204435343,54.34098614692333,15.683594430674951,32.45356636977862,41.584379133597885,38.763297872340424
DreadPoor_CoolerCoder-8B-LINEAR,44,37.400706956412215,46.423101814297176,47.60872796910911,7.273935755782773,29.229790413724977,39.61412863756614,31.590757978723406
DreadPoor_Damasteel-8B-LINEAR,44,43.607338504115845,75.07690705106894,53.87509737581438,14.870156238814655,30.671753267705448,42.10962301587301,37.79089095744681
DreadPoor_Dearly_Beloved-8B-TIES,44,36.379926189198564,83.59486163379832,40.488534915196965,18.859842827555713,30.017589722916902,41.72682291666667,28.26628989361702
DreadPoor_Decayed-8B-LINEAR,44,44.023315802202504,78.11689650128326,54.161988263852464,15.59405598870047,31.468836439474025,41.84582919973545,37.63297872340425
DreadPoor_Derivative-8B-Model_Stock,44,44.11620986554519,78.6526970660071,53.94984070294747,16.041624973613157,32.52248514675109,41.98592923280423,38.10671542553192
DreadPoor_Derivative_V2-8B-Model_Stock,44,43.91085052355111,77.13145564878965,53.92109173499551,16.149001852795696,31.33901339385819,41.20626653439153,38.56382978723404
DreadPoor_Derivative_V2_ALT-8B-Model_Stock,44,44.064903614562176,78.67142515193022,53.64797566661949,17.443765718432353,31.612720740761844,41.32761656746032,38.821476063829785
DreadPoor_Derivative_V3-8B-Model_Stock,44,42.18762768693876,71.61603434442834,52.42113889818179,13.140939164363413,30.11690345215932,41.474747850529106,35.02327127659575
DreadPoor_Elusive_Dragon_Heart-8B-LINEAR,44,43.68073635311731,72.98739566572252,54.557588205645715,13.428174847000832,31.060875529206065,41.4419353505291,38.13996010638298
DreadPoor_Emu_Eggs-9B-Model_Stock,44,48.45074782037178,77.83337101113933,60.51354507687816,18.50274491396989,33.45867522671214,40.683366402116405,42.27061170212766
DreadPoor_Eunoia_Vespera-8B-LINEAR,44,43.43405208100234,73.78173246984667,53.98786903060391,13.906618894067153,30.383328453798253,41.83645419973545,38.38929521276596
DreadPoor_Fu_sion_HA-8B-SLERP,44,43.92368679105328,77.72222148344173,53.72160385335304,15.900471382712611,32.748037931028705,41.584379133597885,38.24800531914894
DreadPoor_HOT_STINKING_GARBAGE,44,38.093684713545116,58.97147346817555,48.836764156149805,5.464920639188203,26.881414633092483,42.49007936507937,30.169547872340424
