C,L_ctx,g_form,N,D,Q,L,tokens_per_param,C_train,C_quality,C_attn,share_train,share_quality,share_attn,Q_at_lower,Q_at_upper,D_at_wall,p,regime,cost_form,N_noQ,D_noQ,L_noQ,gain_vs_noQ,tpp_noQ,check_L,check_absdiff_L,check_reldiff_N
1e+22,8192,exp,4329332073.518499,273895640658.95407,1.0,2.0640947336204483,63.26510325560586,7.114711091410245e+21,9.424984665619978e+20,1.9427904420277573e+21,0.7114711091410245,0.09424984665619977,0.19427904420277572,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},4627960682.2922125,282883711886.4719,2.1555662979262635,0.09147156430581527,61.124916849198605,,,
1e+22,32768,exp,3376093579.689239,218229998258.50275,1.0,2.07389957070691,64.6397954047797,4.420589376096749e+21,7.509482013719748e+20,4.828462422531277e+21,0.4420589376096749,0.07509482013719748,0.48284624225312767,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},3697738562.1213794,215424707119.6236,2.1711974356967616,0.09729786498985149,58.258501378754914,2.0738995707069083,1.7763568394002505e-15,2.7445477157606035e-07
1e+22,32768,exp,3376094248.2710447,218229958286.8911,1.0,2.092266653476826,64.6397707642938,4.4205894418368184e+21,7.509480638262198e+20,4.828462494336963e+21,0.44205894418368186,0.07509480638262198,0.4828462494336963,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},3697734379.35943,215424950801.34207,2.19246901854038,0.10020236506355396,58.258633179233605,2.0922666534768233,2.6645352591003757e-15,4.2190909432804347e-08
1e+22,131072,exp,2132266097.804559,138637110369.64444,1.0,2.132459964596751,65.01867215934685,1.7736672620326903e+21,4.7706222566235164e+20,7.74927051230496e+21,0.17736672620326902,0.04770622256623516,0.774927051230496,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},2415893960.1282187,128490815360.79468,2.2472942164550727,0.11483425185832186,53.18561885637369,,,
1e+22,131072,exp,2132266060.7002215,138637112667.02917,1.0,2.1526019585381446,65.01867436819855,1.7736672605602744e+21,4.770622335678502e+20,7.749270505871877e+21,0.17736672605602744,0.04770622335678502,0.7749270505871877,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},2415893585.12729,128490835305.45424,2.2706975377852743,0.11809557924712966,53.18563536757942,,,
1e+22,30000,exp,3452478530.629355,222861942915.30655,1.0,2.071323150795493,64.55129001908112,4.6165564392566445e+21,7.668871214867112e+20,4.616556439256645e+21,0.46165564392566444,0.07668871214867112,0.4616556439256645,False,True,False,p*,R2 质量饱和(Q*=1),指数型 γe^{λQ},3773836238.098345,220818626129.16513,2.1678270436156257,0.09650389282013272,58.51303877468641,,,
1e+22,30000,exp,3452477596.0756497,222861998615.59485,1.0,2.089610077093557,64.55132362594239,4.6165563434219025e+21,7.668873131561959e+20,4.616556343421902e+21,0.46165563434219026,0.07668873131561958,0.4616556343421902,False,True,False,p_ref,R2 质量饱和(Q*=1),指数型 γe^{λQ},3773834786.0759993,220818711091.43762,2.1890016236430427,0.0993915465494859,58.51308380170055,,,
1e+22,2048,power,4802476638.56319,288103150585.9846,1.0,2.038302916115465,59.99053660616652,8.301651901113864e+21,1.1316219957700968e+21,5.6672610311603985e+20,0.8301651901113865,0.11316219957700968,0.056672610311603984,False,True,False,p*,R2 质量饱和(Q*=1),幂函数型 γQ^λ,5009488775.369459,311440913498.0836,2.1233258400735577,0.08502292395809263,62.17019888922982,2.0383029161154225,4.263256414560601e-14,1.047735178616449e-07
1e+22,2048,power,4802478967.363287,288103026689.50494,1.0,2.055545334936374,59.99048171733746,8.301652356660307e+21,1.1316215091250139e+21,5.6672613421467704e+20,0.8301652356660307,0.11316215091250138,0.056672613421467705,False,True,False,p_ref,R2 质量饱和(Q*=1),幂函数型 γQ^λ,5009487896.221599,311440968154.8906,2.1431965831968385,0.08765124826046433,62.17022071054302,2.0555453349363524,2.1760371282653068e-14,3.272851875069094e-07
1e+22,4096,power,4651803658.199759,280509505996.1534,1.0,2.0414681013975744,60.30123509226315,7.82925087691628e+21,1.1017954033554159e+21,1.0689537197283029e+21,0.782925087691628,0.11017954033554159,0.10689537197283029,False,True,False,p*,R2 质量饱和(Q*=1),幂函数型 γQ^λ,4871277461.102238,301039653121.10596,2.12753147844367,0.08606337704609546,61.79891322654999,,,
