N_B,tokens_per_param,Q,dQ,dL_gain,gain_over_Nterm,N_equiv_multiplier,extra_params_B,substitutable_by_N,gain_over_Dterm,D_equiv_multiplier,substitutable_by_D
70.0,20,0.5,0.1,0.015306321447505544,0.16010793973696893,1.6705896764812986,46.94127735369091,True,0.08570201797247709,1.3770252694031235,True
70.0,20,0.6805,0.1,0.015306321447505544,0.1833462792850096,1.8143004727142895,57.00103309000026,True,0.09385224051749473,1.4217630814654891,True
70.0,20,0.8,0.1,0.015306321447505544,0.20283962347840692,1.9479079220912325,66.35355454638628,True,0.10015905364971787,1.4576658216985308,True
70.0,20,0.9,0.1,0.015306321447505544,0.22264728896904135,2.0975293478128925,76.82705434690247,True,0.10612653302595548,1.4927122301615499,True
70.0,20,0.5,0.3,0.045918964342516855,0.48032381921090916,6.856006174607957,409.920432222557,True,0.2571060539174325,2.8898473495199055,True
70.0,20,0.5,0.5,0.07653160723752794,0.8005396986848471,114.61041458521346,7952.729020964943,True,0.42851008986238664,7.372875299653677,True
70.0,20,0.6805,0.3,0.04591896434251663,0.5500388378550287,10.472798474329595,663.0958932030717,True,0.2815567215524842,3.256656037017792,True
70.0,100,0.5,0.1,0.01218838116837584,0.12749350680307012,1.493509448438904,34.54566139072328,True,0.1071076838064519,1.49857729895951,True
70.0,100,0.6805,0.1,0.01218838116837584,0.1459981319086549,1.5907047950269102,41.34933565188371,True,0.11729357534035151,1.5612446667030597,True
70.0,100,0.8,0.1,0.01218838116837584,0.16152062763633954,1.6788815016448202,47.521705115137415,True,0.12517563182832678,1.6120560083155577,True
70.0,100,0.9,0.1,0.01218838116837584,0.1772934165382008,1.7753209522652384,54.27246665856669,True,0.13263359967170762,1.6620986077409732,True
70.0,100,0.5,0.3,0.03656514350512752,0.3824805204092103,4.12787836400091,218.95148548006372,True,0.3213230514193557,3.990909052481561,True
70.0,100,0.5,0.5,0.060941905841879196,0.6374675340153505,19.77083108200174,1313.958175740122,True,0.5355384190322595,15.459842488339824,True
70.0,100,0.6805,0.3,0.03656514350512752,0.4379943957259647,5.445643479781775,311.19504358472426,True,0.3518807260210545,4.704505002512237,True
70.0,1000,0.5,0.1,0.009586242808917511,0.10027449058991553,1.3644859659796782,25.514017618577473,True,0.1605403593266806,1.8679699761452149,True
70.0,1000,0.6805,0.1,0.009586242808917289,0.1148285012414984,1.4315287249590678,30.207010747134746,True,0.17580767376015635,1.9944926293739904,True
70.0,1000,0.8,0.1,0.009586242808917511,0.12703704731421947,1.4912137728996266,34.38496410297387,True,0.18762184185569455,2.100011008850213,True
70.0,1000,0.9,0.1,0.009586242808917289,0.13944245063220173,1.5553271630590815,38.872901414135704,True,0.19880035673784135,2.206520233508769,True
70.0,1000,0.5,0.3,0.02875872842675231,0.3008234717697442,2.8647896292893704,130.53527405025594,True,0.4816210779800381,10.444651238639853,True
70.0,1000,0.5,0.5,0.04793121404458711,0.501372452949573,7.742549851704842,471.978489619339,True,0.8027017966333956,328.75110980868243,True
70.0,1000,0.6805,0.3,0.02875872842675231,0.34448550372450054,3.4630452522171242,172.4131676551987,True,0.5274230212804772,14.532619990144388,True
175.0,5,0.5,0.1,0.014718214409233044,0.21023169227102073,2.0020195008922497,175.3534126561437,True,0.07224524285468528,1.3070271750727585,True
175.0,5,0.6805,0.1,0.014718214409233044,0.24074507878251505,2.24800587666818,218.40102841693147,True,0.07911573226689057,1.3421812142900171,True
175.0,5,0.8,0.1,0.0147182144092326,0.26634105325155544,2.486572311372561,260.15015449019813,True,0.08443226106231157,1.3702184413723744,True
175.0,5,0.9,0.1,0.014718214409233044,0.29234975115171424,2.7650639582387098,308.8861926917742,True,0.08946273767145377,1.3974410781524387,True
175.0,5,0.5,0.3,0.04415464322769913,0.6306950768130621,18.72334466660934,3101.5853166566344,True,0.21673572856405587,2.3923023308478357,True
175.0,5,0.5,0.5,0.07359107204616477,1.0511584613550973,inf,inf,False,0.3612262142734243,4.954924636730838,True
175.0,5,0.6805,0.3,0.04415464322769891,0.7222352363475415,43.273947703402975,7397.940848095521,True,0.23734719680067054,2.6312937268399175,True
175.0,20,0.5,0.1,0.011564375678762673,0.16518296319144318,1.7006361061278341,122.61131857237098,True,0.0836931605307834,1.3662761461678234,True
175.0,20,0.6805,0.1,0.011564375678762673,0.18915790030262214,1.8528131918881035,149.2423085804181,True,0.09165234165579302,1.4095064086130813,True
175.0,20,0.8,0.1,0.01156437567876245,0.2092691350213083,1.9948602184838349,174.1005382346711,True,0.09781132293068151,1.444166782086057,True
175.0,20,0.9,0.1,0.01156437567876245,0.22970465424054876,2.15455440109921,202.04702019236174,True,0.10363892444130143,1.4779730772402713,True
175.0,20,0.5,0.3,0.034693127036287796,0.4955488895743264,7.482597045737258,1134.4544830040202,True,0.2510794815923486,2.8076684378271324,True
175.0,20,0.5,0.5,0.0578218783938127,0.8259148159572064,171.0133774214636,29752.341048756127,True,0.41846580265391226,6.928175752399925,True
175.0,20,0.6805,0.3,0.034693127036287796,0.5674737009078628,11.763598400471242,1883.6297200824674,True,0.2749570249673773,3.152041370120304,True
175.0,100,0.5,0.1,0.009152137237941727,0.13072708726284799,1.5099085103778804,89.23398931612907,True,0.10395483242078007,1.4798344830114771,True
